datetime,latitude,longitude,depth
2020-11-26 06:03:53.900000,40.5667,29.0058,2.7
2020-11-26 06:30:50.100000,40.5845,29.002,3.7
2020-11-26 06:31:56.700000,40.5925,28.994,4.7
2020-11-26 07:55:11.500000,40.5948,28.9932,4.3
2020-11-26 12:12:17.200000,40.5907,28.9975,4.6
2020-11-26 12:12:49.000000,40.5992,28.9887,7.4
2020-11-26 13:56:23.000000,40.5898,28.999,4.0
2020-11-27 00:24:09.700000,40.5948,28.9862,4.6
2020-11-27 00:29:31.900000,40.5838,29.0062,3.3
2020-11-27 00:35:12.000000,40.6035,28.9788,10.1
2020-11-27 07:03:28.300000,40.5723,29.012,2.1
2020-11-27 20:37:04.600000,40.5805,29.0072,3.3
2020-11-28 05:57:50.500000,40.5883,29.0083,2.3
2020-11-28 05:58:38.400000,40.5858,28.9922,4.2
2020-11-28 05:58:59.900000,40.5835,29.0087,2.3
2020-11-28 06:14:35.600000,40.5747,29.0,4.1
2020-11-28 07:11:47.600000,40.5875,28.9833,9.8
2020-11-28 07:13:13.900000,40.5708,28.9893,5.0
2020-11-28 07:13:33.000000,40.5733,29.0073,2.7
2020-11-28 09:57:06.600000,40.5795,29.0112,1.9
2020-11-28 22:16:48.600000,40.7027,27.4038,10.9
2020-11-28 22:27:20.500000,40.6978,27.4187,6.5
2020-11-28 22:32:46.400000,40.57,29.0048,1.8
2020-11-29 02:22:44.500000,40.586,29.0182,1.8
2020-11-29 03:00:15.700000,40.59,29.006,10.3
2020-11-29 03:01:43.900000,40.5395,29.0355,13.2
2020-11-29 04:20:10.100000,40.6873,27.3923,10.5
2020-11-29 04:44:04.600000,40.5828,28.9868,8.1
2020-11-29 04:50:27.400000,40.5957,28.9762,7.1
2020-11-29 07:22:49.800000,40.595,28.9963,5.0
2020-11-29 09:15:41.500000,40.5662,29.0105,2.2
2020-11-29 10:18:15.100000,40.5943,28.9988,3.7
2020-11-29 10:18:41.900000,40.5732,29.0113,2.3
2020-11-29 10:19:06.500000,40.5685,29.022,3.3
2020-11-29 11:49:22.600000,40.7393,27.4807,11.0
2020-11-29 15:33:16.900000,40.6517,29.1237,3.8
2020-11-29 15:35:22.500000,40.6383,29.1292,12.0
2020-11-29 16:09:45.400000,40.6415,29.1347,10.6
2020-11-29 19:42:35.600000,40.7963,27.7033,11.7
2020-11-30 04:50:44.500000,40.5752,29.009,1.8
2020-11-30 08:33:46.900000,40.5738,29.014,2.0
2020-11-30 20:56:01.300000,40.6308,29.1682,5.3
2020-12-01 00:53:54.400000,40.4162,28.936,11.1
2020-12-01 01:01:19.500000,40.4272,28.951,5.1
2020-12-01 06:10:55.700000,40.5883,28.9907,4.1
2020-12-01 10:18:22.700000,40.5308,29.047,14.0
2020-12-01 10:35:03.500000,40.5745,29.0215,8.4
2020-12-01 10:57:17.200000,40.675,29.0073,5.0
2020-12-01 11:24:17.700000,40.4538,29.16,0.0
2020-12-01 12:40:46.800000,40.5903,28.9898,5.5
2020-12-01 12:44:37.800000,40.5843,28.9997,3.4
2020-12-01 12:53:38.200000,40.4288,28.9353,6.0
2020-12-01 15:07:16.700000,40.6037,28.9875,7.7
2020-12-01 16:22:45.700000,40.5827,28.996,15.9
2020-12-01 16:25:57.900000,40.583,29.0027,19.3
2020-12-02 02:10:28.100000,40.7788,27.7575,3.5
2020-12-02 03:51:27.900000,40.6317,28.9573,10.9
2020-12-02 08:06:20.400000,40.498,29.281,0.0
2020-12-02 08:54:41.500000,40.6078,29.01,10.6
2020-12-02 09:24:07.400000,40.4425,29.2153,0.0
2020-12-02 11:14:26.900000,40.5858,29.0142,2.1
2020-12-02 21:14:03.100000,40.7422,29.019,15.8
2020-12-03 01:10:14.900000,40.4313,28.9555,4.7
2020-12-03 02:38:12.900000,40.5885,28.9888,7.8
2020-12-03 02:38:58.000000,40.578,29.0092,2.3
2020-12-03 03:20:15.300000,40.5842,28.9955,6.0
2020-12-03 05:35:37.900000,40.4997,29.0633,14.1
2020-12-03 05:50:18.600000,40.5958,28.9942,4.8
2020-12-03 05:51:04.900000,40.564,29.0077,1.1
2020-12-03 08:30:43.300000,40.5148,29.2507,0.0
2020-12-03 09:07:08.800000,40.4547,29.2867,0.0
2020-12-03 09:08:23.700000,40.4345,29.2033,0.0
2020-12-03 11:56:32.000000,40.5817,28.985,5.0
2020-12-04 01:17:46.900000,40.5877,28.9915,4.9
2020-12-04 02:42:02.800000,40.5815,28.9947,3.1
2020-12-04 02:47:45.400000,40.555,28.9833,1.7
2020-12-04 02:54:09.900000,40.5887,28.9953,4.7
2020-12-04 02:55:35.900000,40.573,28.9753,5.0
2020-12-04 02:57:27.600000,40.5665,29.0053,1.4
2020-12-04 03:05:43.100000,40.578,28.9945,4.2
2020-12-04 10:09:16.800000,40.5817,28.9903,5.5
2020-12-04 11:19:31.800000,40.58,29.0047,5.1
2020-12-04 19:46:51.400000,40.6065,28.9768,5.7
2020-12-04 20:58:14.200000,40.6172,29.0048,5.0
2020-12-05 00:46:06.000000,40.5753,29.0092,2.3
2020-12-05 03:56:09.900000,40.5788,29.013,2.1
2020-12-05 03:56:24.600000,40.5835,29.0135,3.3
2020-12-05 04:02:01.100000,40.585,29.0078,3.2
2020-12-05 05:37:08.300000,40.5853,28.996,5.9
2020-12-05 13:21:14.400000,40.5712,29.0107,2.3
2020-12-06 12:24:05.700000,40.5788,29.0027,3.6
2020-12-06 16:33:59.900000,40.6997,27.4265,12.3
2020-12-06 17:10:15.100000,40.6255,28.963,12.9
2020-12-07 06:54:41.500000,40.8308,27.4703,6.4
2020-12-07 14:25:23.700000,40.5913,28.9838,9.5
2020-12-07 14:51:01.200000,40.5698,28.9902,5.0
2020-12-07 16:22:50.700000,40.4235,28.9402,6.9
2020-12-07 16:23:05.900000,40.4365,28.9547,4.5
2020-12-07 18:46:41.500000,40.4565,28.9512,5.0
2020-12-07 18:56:40.900000,40.4363,28.9395,6.4
2020-12-07 21:20:37.700000,40.434,28.948,5.1
2020-12-08 04:12:22.500000,40.502,29.0895,8.2
2020-12-08 08:28:35.200000,40.4407,28.965,4.3
2020-12-08 15:44:32.600000,40.4225,28.9443,7.9
2020-12-08 20:18:06.400000,40.5747,28.9968,6.1
2020-12-08 20:19:21.300000,40.5907,28.9975,5.4
2020-12-08 20:25:53.400000,40.585,29.0028,6.9
2020-12-08 20:29:45.400000,40.5732,29.0103,1.5
2020-12-09 08:19:50.000000,40.4788,29.2935,0.0
2020-12-09 19:26:08.300000,40.5797,29.0045,5.4
2020-12-09 20:13:47.900000,40.5585,28.9887,4.6
2020-12-10 20:38:43.400000,40.6128,28.9895,4.7
2020-12-11 02:51:02.700000,40.6307,29.052,7.5
2020-12-11 04:40:31.600000,40.8265,28.0768,14.8
2020-12-11 08:34:40.600000,40.5648,28.9947,5.0
2020-12-11 19:23:49.800000,40.6047,28.9963,9.7
2020-12-11 20:19:26.100000,40.6067,28.9943,4.9
2020-12-11 21:46:59.100000,40.7805,28.0372,3.6
2020-12-12 08:49:02.000000,40.605,29.0307,5.7
2020-12-13 04:19:54.900000,40.6257,29.0495,6.8
2020-12-13 06:25:30.900000,40.6397,29.0848,10.7
2020-12-13 08:39:05.900000,40.589,29.0027,13.0
2020-12-13 09:38:35.300000,40.6575,29.0518,14.1
2020-12-13 11:07:03.100000,40.5917,28.9967,4.3
2020-12-13 11:08:23.200000,40.594,29.0148,2.5
2020-12-13 23:18:46.900000,40.6085,28.9968,7.9
2020-12-13 23:35:17.100000,40.59,28.9927,5.5
2020-12-14 03:56:50.800000,40.4255,28.9927,6.0
2020-12-14 06:45:53.500000,40.6313,29.0538,5.0
2020-12-14 06:50:00.200000,40.5782,28.9828,4.8
2020-12-14 06:51:46.400000,40.5697,28.9993,3.7
2020-12-15 04:30:14.800000,40.3345,27.5437,13.0
2020-12-15 06:41:51.400000,40.648,29.0483,5.0
2020-12-15 13:22:56.500000,40.6048,29.0057,6.8
2020-12-15 20:44:39.900000,40.575,29.0172,5.4
2020-12-15 22:15:52.300000,40.5455,29.0348,14.2
2020-12-16 06:42:24.400000,40.4243,28.931,8.6
2020-12-16 12:00:25.500000,40.7905,27.7307,6.8
2020-12-16 12:30:17.400000,40.7167,27.679,3.6
2020-12-17 00:05:03.900000,40.5123,29.0602,16.5
2020-12-17 04:21:15.800000,40.7975,27.5293,8.7
2020-12-17 23:30:42.300000,40.4312,28.9333,5.3
2020-12-18 04:18:55.300000,40.4612,28.9165,4.2
2020-12-18 05:21:45.700000,40.4735,29.223,0.0
2020-12-18 07:38:23.800000,40.4353,28.9318,5.4
2020-12-18 22:04:06.100000,40.7072,27.405,5.3
2020-12-19 23:50:03.700000,40.6305,29.0638,10.4
2020-12-20 00:29:51.400000,40.6182,29.091,11.8
2020-12-20 09:10:27.800000,40.6285,29.0588,10.0
2020-12-20 13:04:01.600000,40.6013,29.0572,5.0
2020-12-20 17:42:39.400000,40.4247,28.9233,6.8
2020-12-20 18:11:05.600000,40.4282,28.9343,5.4
2020-12-20 20:33:16.100000,40.4278,28.9275,8.4
2020-12-20 22:23:11.900000,40.4218,28.9193,10.8
2020-12-21 11:34:28.800000,40.6242,29.0582,8.7
2020-12-21 12:10:31.700000,40.6298,29.0568,7.4
2020-12-23 11:11:53.400000,40.7948,27.8667,9.5
2020-12-24 00:11:01.000000,40.5757,27.9997,8.0
2020-12-24 13:56:16.300000,40.3635,27.435,6.3
2020-12-24 19:58:49.200000,40.3895,28.9498,11.2
2020-12-25 04:08:44.100000,40.6308,27.3437,11.6
2020-12-26 22:39:32.200000,40.606,29.09,16.7
2020-12-27 01:43:40.500000,40.6322,29.0807,7.1
2020-12-27 17:42:05.500000,40.6357,29.0463,8.1
2020-12-27 20:35:11.100000,40.6218,29.0598,7.8
2020-12-28 10:20:45.200000,40.6995,27.375,11.2
